url,headline,source,scrape_date,cluster
https://news.err.ee/1610077954/man-carrying-deactivated-machine-gun-in-tallinn-has-weapon-confiscated,Man carrying deactivated machine gun in Tallinn has weapon confiscated,err_ee,2026-07-15,2
https://news.err.ee/1610078884/prime-minister-estonia-can-fund-defense-and-still-cut-spending,Prime minister: Estonia can fund defense and still cut spending,err_ee,2026-07-16,2
https://news.err.ee/1610078008/us-close-to-resuming-weapons-deliveries-says-estonian-officials,"US 'close' to resuming weapons deliveries, says Estonian officials",err_ee,2026-07-16,1
https://news.err.ee/1610079607/uk-to-deploy-more-soldiers-and-preposition-ammunition-in-estonia,UK to deploy more soldiers and preposition ammunition in Estonia,err_ee,2026-07-17,1
https://news.err.ee/1610079931/russia-s-fuel-shortages-could-lead-to-more-repressions-says-estonian-intel,"Russia's fuel shortages could lead to more repressions, says Estonian intel",err_ee,2026-07-17,0
https://news.err.ee/1610080546/russia-protests-removal-of-valga-county-soviet-war-memorial,Russia protests removal of Valga County Soviet war memorial,err_ee,2026-07-18,6
https://news.err.ee/1610080570/russia-bans-all-commercial-freight-transport-by-estonia-registered-trucks,Russia bans all commercial freight transport by Estonia-registered trucks,err_ee,2026-07-18,0
https://news.err.ee/1610081377/drone-defense-system-on-estonia-s-eastern-border-still-in-early-development,Drone‑defense system on Estonia's eastern border still in early development,err_ee,2026-07-20,0
https://news.err.ee/1610081455/estonian-hunters-deploy-drones-to-keep-african-swine-fever-from-farms,Estonian hunters deploy drones to keep African swine fever from farms,err_ee,2026-07-20,6
https://news.err.ee/1610081461/gallery-wagner-s-das-rheingold-staged-in-full-for-first-time-at-saaremaa-opera-days,Gallery: Wagner's 'Das Rheingold' staged in full for first time at Saaremaa Opera Days,err_ee,2026-07-20,0
https://news.err.ee/1610081596/veteran-diplomat-nato-s-deterrence-is-meant-to-work-primarily-in-putin-s-mind,Veteran diplomat: NATO's deterrence is meant to work primarily in Putin's mind,err_ee,2026-07-20,0
https://news.err.ee/1610081680/minister-closure-of-estonia-s-border-with-russia-depends-on-threat-assessment,Minister: Closure of Estonia's border with Russia depends on threat assessment,err_ee,2026-07-20,2
https://news.err.ee/1610082355/estonian-expert-larger-middle-east-war-likely,Estonian expert: Larger Middle East war likely,err_ee,2026-07-21,0
https://news.err.ee/1610082268/foreign-ministry-s-ukraine-bureau-chief-ukraine-s-soldiers-can-t-afford-to-be-shaken-by-political-upheaval,Foreign Ministry's Ukraine bureau chief: Ukraine's soldiers can't afford to be shaken by political upheaval,err_ee,2026-07-21,5
https://news.err.ee/1610082736/turkish-airlines-suspected-of-using-russian-airspace-on-flight-from-tallinn,Turkish Airlines suspected of using Russian airspace on flight from Tallinn,err_ee,2026-07-21,5
https://news.err.ee/1610083501/expert-ukraine-s-defense-changes-unlikely-to-have-a-direct-impact-on-battlefield,Expert: Ukraine's defense changes unlikely to have a 'direct' impact on battlefield,err_ee,2026-07-22,5
https://news.err.ee/1610084782/bank-of-estonia-expert-russia-s-economy-is-approaching-stagnation,Bank of Estonia expert: Russia's economy is approaching stagnation,err_ee,2026-07-23,0
https://news.err.ee/1610084398/critics-claim-anti-russian-messaging-in-estonian-meat-advertisement,Critics claim anti-Russian messaging in Estonian meat advertisement,err_ee,2026-07-23,0
https://news.err.ee/1610084590/otp-bank-makes-boldest-dreams-in-russia-come-true,OTP Bank makes boldest dreams in Russia come true,err_ee,2026-07-23,5
https://news.err.ee/1610084779/parnu-defense-industrial-park-litigation-drags-on-due-to-noise-complaints,Pärnu Defense Industrial Park litigation drags on due to noise complaints,err_ee,2026-07-23,3
https://news.err.ee/1610085589/russia-orders-yandex-maps-to-blur-military-and-strategic-sites-near-estonia-s-border,Russia orders Yandex Maps to blur military and strategic sites near Estonia's border,err_ee,2026-07-24,0
https://news.err.ee/1610085658/32-migrants-arrested-in-estonia-linked-to-latvia-belarus-migration-pressure,32 migrants arrested in Estonia linked to Latvia-Belarus migration pressure,err_ee,2026-07-24,2
https://news.err.ee/1610085871/estonian-citizen-in-us-pleads-guilty-to-procuring-electronics-for-russia,Estonian citizen in US pleads guilty to procuring electronics for Russia,err_ee,2026-07-24,2
https://news.err.ee/1610085697/defense-intelligence-strikes-on-online-retail-hubs-add-economic-pressure-on-russia,Defense Intelligence: Strikes on online retail hubs add economic pressure on Russia,err_ee,2026-07-24,0
https://news.err.ee/1610086312/katrina-lehis-loses-to-russian-fencer-at-world-championships,Katrina Lehis loses to Russian fencer at world championships,err_ee,2026-07-25,6
https://news.err.ee/1610085874/open-narva-days-offer-peek-into-lesser-known-sides-of-estonian-border-city,Open Narva Days offer peek into lesser-known sides of Estonian border city,err_ee,2026-07-25,5
https://news.err.ee/1610086249/estonia-and-other-baltic-states-ukraine-slam-ioc-decision-on-russian-athletes,"Estonia and other Baltic states, Ukraine slam IOC decision on Russian athletes",err_ee,2026-07-25,5
https://news.err.ee/1610086300/ministries-oppose-riigikogu-members-special-military-court-bill,Ministries oppose Riigikogu members' special military court bill,err_ee,2026-07-25,3
https://news.err.ee/1610086414/ministry-of-defense-opposed-to-restoring-special-pensions-for-edf-personnel,Ministry of Defense opposed to restoring special pensions for EDF personnel,err_ee,2026-07-26,0
https://news.err.ee/1610086741/border-authorities-apprehend-illegal-migrants-in-estonia-for-4th-day-in-a-row,Border authorities apprehend illegal migrants in Estonia for 4th day in a row,err_ee,2026-07-26,2
https://www.lrt.lt/en/news-in-english/19/2989283/civic-initiative-turns-old-phones-into-drone-detectors-as-lithuania-fixates-on-air-defence,Civic initiative turns old phones into drone detectors as Lithuania fixates on air defence,lrt_lt,2026-07-19,5
https://www.lrt.lt/en/news-in-english/19/2993182/german-brigade-troops-to-arrive-at-lithuania-s-rudninkai-base-this-autumn-minister-says,"German brigade troops to arrive at Lithuanias Rūdninkai base this autumn, minister says",lrt_lt,2026-07-19,0
https://www.lrt.lt/en/news-in-english/19/2993063/exhumation-of-soviet-soldiers-remains-begins-in-lithuania-s-vievis,Exhumation of Soviet soldiersâ remains begins in Lithuaniaâs Vievis,lrt_lt,2026-07-19,6
https://www.lrt.lt/en/news-in-english/19/2993047/lithuania-begins-construction-of-second-phase-of-military-base-for-german-brigade,Lithuania begins construction of second phase of military base for German brigade,lrt_lt,2026-07-19,0
https://www.lrt.lt/en/news-in-english/19/2992334/lrt-english-newsletter-russia-planning-something,LRT English Newsletter: Russia planning something?,lrt_lt,2026-07-19,5
https://www.lrt.lt/en/news-in-english/19/2992108/new-minister-says-border-guards-should-be-allowed-to-use-firearms-against-migrants,New minister says border guards should be allowed to use firearms against migrants,lrt_lt,2026-07-19,2
https://www.lrt.lt/en/news-in-english/19/2992294/latvia-to-donate-radars-to-lithuania-to-strengthen-air-defences,Latvia to donate radars to Lithuania to strengthen air defences,lrt_lt,2026-07-19,0
https://www.lrt.lt/en/news-in-english/19/2992211/eu-court-dismisses-final-challenge-to-sanctions-on-belarusian-transit-through-lithuania,EU court dismisses final challenge to sanctions on Belarusian transit through Lithuania,lrt_lt,2026-07-19,5
https://www.lrt.lt/en/news-in-english/19/2989137/baltic-states-reject-russian-claims-over-airspace-in-joint-diplomatic-protest,Baltic states reject Russian claims over airspace in joint diplomatic protest,lrt_lt,2026-07-19,4
https://www.lrt.lt/en/news-in-english/19/2989093/lithuania-sends-more-guards-to-latvia-as-minister-raises-prospect-of-border-checks,Lithuania sends more guards to Latvia as minister raises prospect of border checks,lrt_lt,2026-07-19,2
https://www.lrt.lt/en/news-in-english/19/2989202/nato-air-defence-pledge-for-baltics-promises-and-reality,NATO air defence pledge for Baltics: promises and reality,lrt_lt,2026-07-19,5
https://www.lrt.lt/en/news-in-english/19/2997350/most-poles-oppose-return-of-compulsory-military-service,Most Poles oppose return of compulsory military service,lrt_lt,2026-07-26,5
https://www.lrt.lt/en/news-in-english/19/2998303/belarusian-man-says-asylum-in-lithuania-endangered-by-politics-history-shows-otherwise,Belarusian man says asylum in Lithuania endangered by politics. History shows otherwise,lrt_lt,2026-07-26,5
https://www.lrt.lt/en/news-in-english/19/3000267/store-chain-closing-in-lithuania-as-its-owner-falls-under-latest-russia-sanctions,Store chain closing in Lithuania as its owner falls under latest Russia sanctions,lrt_lt,2026-07-26,5
https://www.lrt.lt/en/news-in-english/19/3000197/lithuania-s-auditor-general-suggests-fixing-military-spending-above-5-beyond-2030,Lithuaniaâs auditor general suggests fixing military spending above 5% beyond 2030,lrt_lt,2026-07-26,5
https://www.lrt.lt/en/news-in-english/19/3000153/lithuania-investigates-citizen-on-suspicion-of-spying-for-russia,Lithuania investigates citizen on suspicion of spying for Russia,lrt_lt,2026-07-26,5
https://www.lrt.lt/en/news-in-english/19/3000095/lithuania-weighs-joining-new-international-defence-financing-initiatives-minister,Lithuania weighs joining new international defence financing initiatives â minister,lrt_lt,2026-07-26,5
https://www.lrt.lt/en/news-in-english/19/3000051/lithuanian-fm-slams-concessions-in-latest-russia-sanctions-round,Lithuanian FM slams concessions in latest Russia sanctions round,lrt_lt,2026-07-26,0
https://www.lrt.lt/en/news-in-english/19/2999178/former-lithuanian-army-chief-warns-ukraine-leadership-changes-risk-military-instability,Former Lithuanian army chief warns Ukraine leadership changes risk military instability,lrt_lt,2026-07-26,5
https://www.lrt.lt/en/news-in-english/19/2999139/lithuanian-polish-border-officials-to-discuss-easing-checks-amid-temporary-controls,"Lithuanian, Polish border officials to discuss easing checks amid temporary controls",lrt_lt,2026-07-26,2
https://www.lrt.lt/en/news-in-english/19/2998285/uk-swaps-tanks-for-drones-in-the-baltics-the-way-of-war-is-changing,UK swaps tanks for drones in the Baltics: âThe way of war is changingâ,lrt_lt,2026-07-26,1
https://www.lrt.lt/en/news-in-english/19/2997319/fatigue-in-europe-lithuania-among-few-fighting-for-russia-sanctions,âFatigue in Europeâ: Lithuania among few fighting for Russia sanctions,lrt_lt,2026-07-26,0
https://eng.lsm.lv/article/features/features/12.07.2026-the-deep-roots-of-resilience-what-a-crown-taught-me-about-todays-ukraine.a654669/,The Deep Roots of Resilience: what a crown taught me about today’s Ukraine,lsm_lv,2026-07-12,2
https://eng.lsm.lv/article/politics/diplomacy/11.07.2026-baltic-states-strongly-reject-russian-lies-in-moscow.a654710/,Baltic states 'strongly reject' Russian lies in Moscow,lsm_lv,2026-07-12,4
https://eng.lsm.lv/article/politics/diplomacy/08.07.2026-russia-indulges-in-further-baltic-deportation-fantasies.a654280/,Russia indulges in further Baltic deportation fantasies,lsm_lv,2026-07-12,0
https://eng.lsm.lv/article/society/defence/10.07.2026-lions-leap-military-exercises-taking-place-this-weekend.a654614/,'Lion's Leap' military exercises taking place this weekend,lsm_lv,2026-07-12,0
https://eng.lsm.lv/article/society/defence/10.07.2026-latvia-is-belarus-first-target-for-hybrid-war-border-guard-chief.a654588/,Latvia is Belarus' first target for hybrid war: Border Guard chief,lsm_lv,2026-07-12,2
https://eng.lsm.lv/article/society/defence/19.07.2026-no-one-in-armed-forces-will-be-disciplined-over-rezekne-drone-incident.a655536/,No-one in armed forces will be disciplined over Rēzekne drone incident,lsm_lv,2026-07-19,0
https://eng.lsm.lv/article/politics/diplomacy/14.07.2026-latvias-honorary-consuls-in-ukraine-given-awards.a654960/,Latvia's honorary consuls in Ukraine given awards,lsm_lv,2026-07-19,5
https://eng.lsm.lv/article/politics/diplomacy/13.07.2026-russia-planning-to-make-sarcastic-use-of-international-courts-against-baltics.a654903/,Russia planning to make sarcastic use of international courts against Baltics,lsm_lv,2026-07-19,3
https://eng.lsm.lv/article/politics/diplomacy/24.07.2026-latvian-honorary-consulate-building-in-sloviansk-destroyed-by-russian-strike.a656267/,Latvian honorary consulate building in Sloviansk destroyed by Russian strike,lsm_lv,2026-07-26,0
https://eng.lsm.lv/article/society/crime/24.07.2026-state-security-service-investigates-fire-at-ukrainian-charity-warehouse.a656192/,State Security Service investigates fire at Ukrainian charity warehouse,lsm_lv,2026-07-26,2
https://eng.lsm.lv/article/society/defence/24.07.2026-latvia-and-american-company-plan-artillery-factory-within-2-years.a656200/,Latvia and American company plan artillery factory within 2 years,lsm_lv,2026-07-26,0
